TSNE1,TSNE2,Is_Fraud
-22.206326,-10.871348,1
-55.994347,74.91808,0
13.989104,30.869976,0
-83.80803,42.854847,0
-51.912483,80.99921,0
-83.958984,42.66381,0
73.31665,51.001713,1
-104.4034,21.712288,0
-5.1770635,92.81998,0
-50.630764,-57.424397,0
36.481575,-4.512977,0
-77.81888,48.986145,0
-76.0329,50.953434,0
5.5480037,-17.009003,0
60.33049,49.377598,0
-53.196556,78.452065,0
48.717403,43.108368,0
54.244724,63.8262,0
-4.7761507,93.64104,0
-51.745434,-60.273968,0
-78.596565,47.896534,0
-75.98095,51.051567,0
-89.41218,36.475952,0
-83.59129,43.01157,0
-51.72278,-60.234627,0
35.086903,-4.937974,0
18.907194,-13.73688,0
34.008186,-5.399874,0
-14.235259,79.81512,0
-51.85951,-61.277782,0
-38.731586,-45.05436,0
-80.8441,45.65262,0
-43.134514,-48.019444,0
63.406864,50.063885,0
86.36011,-22.143297,0
7.940411,25.548843,0
0.8923789,20.204433,0
4.5939684,-17.175089,0
43.469547,48.411167,1
-93.27296,33.937298,0
2.961604,104.96461,1
-51.61349,-59.79325,0
-14.748321,81.0943,0
36.111717,-4.6582837,0
-75.662315,51.363087,0
13.307508,-15.255324,0
43.36243,48.46587,1
15.557561,-14.9277935,0
16.10165,-14.743481,0
-57.32115,73.4297,0
27.360989,-8.205863,0
9.333678,26.379038,0
26.222044,-8.658193,0
-92.18743,34.661865,0
-5.863805,91.39949,0
-50.69198,81.36904,0
-50.59749,-57.427494,0
-45.723305,78.98468,0
6.6940207,-16.86064,0
-50.55153,-57.21681,0
2.1241665,103.70682,1
37.148544,-4.280923,0
26.66607,-8.464028,0
2.129988,103.719986,1
3.386515,22.160206,0
-56.182316,74.67862,0
-93.02842,34.417023,0
-50.36082,81.58597,0
-5.428481,92.26126,0
41.703857,36.01442,0
-56.74363,74.02085,0
31.840557,-6.113495,0
-40.049072,-46.385937,0
-102.9061,23.944038,0
110.63797,3.7532847,1
4.2795424,-17.314295,0
14.384445,-15.158634,0
63.211002,50.042145,0
-102.51718,23.739782,0
-53.12053,78.424385,0
13.290278,-15.265546,0
73.54218,50.976723,1
71.82189,50.885185,1
18.341143,-14.001596,0
-26.983992,-11.858633,1
-41.735966,-47.41848,0
10.863938,32.651703,0
16.651958,-32.393425,0
-54.22122,1.2924601,0
69.04375,-7.0281343,1
41.931507,36.26223,0
-102.3126,23.959564,0
-75.070854,51.826256,0
-89.27088,36.59932,0
84.16887,-16.965025,0
69.65892,51.54535,1
-7.4395,88.48612,0
-94.28249,33.298546,0
32.716972,-5.8205214,0
-50.68455,-57.628468,0
13.597894,30.486504,0
-104.735016,20.892853,0
13.294342,-15.269071,0
4.653606,-23.071686,0
18.686,-13.909833,0
-97.22928,29.675127,0
7.008372,-16.82745,0
-84.158676,42.412144,0
-13.043496,81.04079,0
2.551805,104.310356,1
-5.1720266,92.76625,0
71.08194,-7.695772,0
28.581583,-7.5671597,0
-82.63026,43.74851,0
-74.77182,52.07077,0
9.05303,26.175575,0
-104.28837,21.586298,0
-26.628597,-11.352527,1
73.49975,50.964485,1
-39.028965,-45.65049,0
13.520554,-15.2482,0
5.2166786,-17.144842,0
-15.032974,-27.545666,1
-74.84218,41.143723,0
-5.4890747,92.07866,0
41.40058,35.670708,0
-102.36003,23.949642,0
50.1256,43.733643,0
-82.23485,44.09276,0
-83.29231,43.168163,0
-74.50136,52.8486,0
14.458653,31.368101,0
-83.24458,43.168133,0
-75.6981,39.818855,0
-6.2980347,90.524956,0
-75.678474,51.159325,0
-77.71372,48.91708,0
-89.245,36.552666,0
47.50452,42.285538,0
10.104195,32.8534,1
59.00406,71.000656,1
60.496555,49.327297,0
-11.294714,82.99124,0
-50.49326,-57.452145,0
-8.0153265,-36.503723,0
-9.421644,-39.060772,0
-73.72705,53.336,0
-90.039246,27.07654,0
-77.06598,49.66967,0
59.955948,49.26112,0
-5.6287165,91.75873,0
14.973583,31.837896,0
-83.98008,42.128605,0
5.87367,89.44363,1
-50.839622,-58.37977,0
86.39281,-22.370485,0
-40.300533,-46.672802,0
-76.87378,50.109314,0
9.6785145,26.563232,0
1.0092173,101.844666,1
16.95495,-14.634537,0
-53.19858,78.03351,0
-56.217766,74.5754,0
-56.1991,74.58614,0
-55.867813,74.94887,0
63.68689,50.0926,0
-50.68841,81.1325,0
26.250126,-8.681405,0
-26.241154,-11.106434,1
-53.793865,77.26294,0
-23.735147,-17.061466,1
-98.69873,27.73358,0
-38.710815,-45.576244,0
-93.958725,33.05997,0
-26.823141,-5.8411636,1
71.85934,50.835663,1
-51.57662,-59.7938,0
13.288369,-15.275928,0
-81.03599,45.20703,0
-40.279507,-46.68117,0
-98.695915,27.697956,0
-14.429581,79.47803,0
5.5448556,-17.153116,0
-57.83019,72.85368,0
27.176548,-8.222233,0
82.26641,-16.40127,0
-2.3702505,96.72851,0
-22.514948,-26.376627,1
-91.16978,35.061478,0
-78.54354,47.662533,0
75.6124,-11.012131,0
49.790894,43.54469,0
41.854015,36.134487,0
4.658138,-23.064692,0
61.734913,49.58022,0
-3.9997277,17.412743,0
-59.724594,71.217026,0
18.748613,-13.930861,0
6.7533755,-16.95321,0
-24.914066,-21.516455,1
48.294327,42.729332,0
-77.594376,48.9057,0
12.745501,29.438225,0
-11.969458,-32.50674,1
4.059711,22.654642,0
35.173058,-5.1896358,0
5.2396913,23.550262,0
-56.44595,74.280464,0
-93.657646,33.78169,0
-53.834988,1.6684455,0
-58.12442,72.57188,0
-98.387115,28.069057,0
-1.4168125,98.00549,0
73.58839,50.925518,1
-81.78203,44.51487,0
13.276484,-15.296352,0
-73.79082,53.285664,0
-40.857243,-47.102283,0
-77.61991,48.866707,0
-100.13936,26.029741,0
-10.275599,-26.205547,1
-50.465317,-57.734135,0
-89.521324,36.15331,0
6.817853,87.77344,1
-10.628616,83.84727,0
-51.24329,80.36612,0
-73.84791,41.629414,0
-43.515675,-48.251217,0
-50.97567,80.91933,0
37.024914,-4.5510406,0
62.17638,49.706123,0
29.517752,54.0299,1
-38.44111,-45.386494,0
-81.78275,44.426846,0
-83.41829,42.892864,0
-75.17656,51.56316,0
-98.008736,28.535606,0
-78.827324,47.293415,0
7.188374,-16.963451,0
-104.390465,21.208479,0
-102.357254,23.932789,0
48.93557,43.059864,0
-52.930622,78.37901,0
-8.1218,87.362206,0
8.729864,30.63147,0
4.391542,-17.529167,0
-11.744383,82.36228,0
5.1069946,85.68527,1
14.491534,31.375792,0
28.655678,-7.834811,0
3.6809783,22.324923,0
-53.979427,76.721275,0
-7.9704638,87.58773,0
1.3942491,20.425396,0
-50.66115,-58.409008,0
7.8737035,30.865253,0
86.633865,-25.588245,0
32.183468,-5.992569,0
-97.12659,29.527079,0
-38.178036,-44.931404,0
14.331228,31.27679,0
-35.217304,23.406622,0
33.10826,-5.8488064,0
19.92043,-13.386842,0
-98.650116,27.619349,0
41.062874,-3.4741616,0
-75.18326,51.484997,0
-83.1094,43.09671,0
28.316002,-8.114769,0
-33.244205,22.419313,1
-50.150642,81.43527,0
-51.710773,-60.596695,0
-96.85458,29.87402,0
28.681042,-7.8216014,0
-53.339523,77.55767,0
31.84311,-6.6428843,0
-97.950424,29.778502,0
-89.490074,36.094753,0
-57.579815,72.97738,0
-5.830966,91.29079,0
-102.38985,23.599983,0
41.554314,35.738052,0
46.16862,45.448986,0
-52.75701,78.32133,0
86.40001,-21.104935,0
-97.34316,29.468485,0
-98.69789,27.603624,0
5.2798004,23.533548,0
3.6926157,22.308552,0
19.93571,-13.382727,0
-50.64882,81.04475,0
-39.995888,-46.565628,0
-7.181622,88.73005,0
